barcode,description,extdescription,department,prodgroup,category,season,colour,size,url
25745955,Gingham Tie Back Cami,"This cami features a cropped length, a tie back, cinched front detailing and a gingham print.

This product contains organically grown cotton and is Global organic textile standard (GOTS) certified.",Blouses,Blouse Sleeveless,Blouse Sleeveless,SUMMER 2021,BLACK/WHITE,8,https://www.glassons.com/content/products/p-tubby-tiny-tie-back-blackwhite-front-bv48664pghm.jpg?width=200
25673043,Ribbed Wide Leg Pant,"These pants feature a cropped length, ribbing, light weight material and an elasticated waistband.",Pants,Pants Casual,Pants Casual,WINTER 2021,HORCHATA,XS,https://www.glassons.com/content/products/cruz-ribbed-pant-horchata-front-pw48100rib.jpg?width=200
25725926,Floral Hook & Eye Bodysuit,"This bodysuit features a floral print, cupped bralette with hook & eye front fastening.",Knit Tops,Tops Bodysuit,Tops Bodysuit,SUMMER 2021,SHADY GARDEN,12,https://www.glassons.com/content/products/zayn-hook-and-eye-bodysuit-shady-garden-front-tb48262sha.jpg?width=200
25859904,Linen Blend Check Mini Dress,"This mini dress features a relaxed fit, linen blend material, a low back and tiered ruffle skirt detail and check print.

Our linen viscose blend contains premium quality flax fibre. A natural and sustainable fibre, cultivated without artificial irrigation and GMO free that is traceable back to farms from Western Europe. EUROPEAN FLAX® certified.",Dresses,Dresses Short,Dresses Short,SUMMER 2021,LEMON CHECK,14,https://www.glassons.com/content/products/t-leah-low-back-tiered-dress-lemon-check-front-ds46324tlck.jpg?width=200
25743265,Mid-Low Raw Waist Denim Mini Skirt,"This denim mini skirt features a low to mid rise waist, raw hem detail, button front fastening with silver hardware.

This product is made from recycled cotton, recycled cotton reduces the reliance on virgin cotton. Our Recycled Cotton is Global Recycled Standard (GRS) sourced and certified.",Skirts,Skirts,Skirts Denim,SUMMER 2021,WASHED BLACK,16,https://www.glassons.com/content/products/p-rosie-raw-waist-denim-skirt-washed-black-front-ss47597praw.jpg?width=200
25851380,Floral Lace Cross Back Cami,"This cami features criss-cross style back straps and floral satin fabric with lace detailing.
 
This product is made from recycled polyester, recycled polyester reduces dependence on fossil fuels as a raw material, and helps divert plastics from going to landfill. Our Recycled Polyester is Global Recycled Standard (GRS) sourced and certified.",Blouses,Blouse Sleeveless,Blouse Sleeveless,SUMMER 2020,SUGAR PASTELS,6,https://www.glassons.com/content/products/r-suka-silky-crossback-cami-sugar-pastels-front-bv48524rsp.jpg?width=200
25840155,Floral Cowl Neck Mini Dress,"This dress features a mini length, cowl neckline, floral print and made from 100% recycled polyester. 
 
This product is made from recycled polyester, recycled polyester reduces dependence on fossil fuels as a raw material, and helps divert plastics from going to landfill. Our Recycled Polyester is Global Recycled Standard (GRS) sourced and certified.",Dresses,Dresses Short,Dresses Short,SUMMER 2020,CANDY BUDS,8,https://www.glassons.com/content/products/r-tori-slip-skater-dress-candy-buds-front-ds42502rcbu.jpg?width=200
25745412,Wide Leg Check Satin Pant,"A satin wide leg pant with a high-rise waist, check print and pockets. 

This product is made from recycled polyester, recycled polyester reduces dependence on fossil fuels as a raw material, and helps divert plastics from going to landfill. Our Recycled Polyester is Global Recycled Standard (GRS) sourced and certified.",Pants,Pants Woven,Pants Woven,SUMMER 2021,HIGH LIFE CHECK,8,https://www.glassons.com/content/products/r-lina-wide-leg-satin-pant-high-life-check-front-pw48403rchk.jpg?width=200
25736427,Stripe Rib Knit Bodycon Dress,"One of our classic knit dresses made for those summer months. Featuring rib knit material, a stripe print and and round neckline.",Dresses,Dresses Knitwear,Dresses Knitwear,SUMMER 2020,SKY STRIPE,XS,https://www.glassons.com/content/products/jeneva-knit-mini-dress-sky-stripe-front-kd47970stp.jpg?width=200
25827422,Mid Rise Stretch Skinny Jean,"We love these jeans featuring a snug fit, full length, mid-rise waist and skinny fit through the leg. With a stretch denim these jeans will provide endless comfort. Inside leg length 76cm.

REPREVE denim is designed for our denim lover! My recycled polyester fibres offer an eco friendly superior stretch denim with durability that maintains the authentic look and feel of traditional denim.",Pants,Jeans Denim,Jeans Denim,SUMMER 2021,JET BLACK,16,https://www.glassons.com/content/products/p-bella-stretch-twill-jean-jet-black-front-jd29344pblk.jpg?width=200
25745481,Wide Leg Satin Pant,"These pants feature a high-rise waist, satin material and pintuck detail. 

This product is made from recycled polyester, recycled polyester reduces dependence on fossil fuels as a raw material, and helps divert plastics from going to landfill. Our Recycled Polyester is Global Recycled Standard (GRS) sourced and certified.",Pants,Pants Woven,Pants Woven,SUMMER 2021,BLACK,8,https://www.glassons.com/content/products/r-lina-wide-leg-satin-pant-black-front-pw48403rsat.jpg?width=200
25748826,Stripe Mesh Mini Skirt,"A mini skirt with a stripe print, mesh material, lettuce trim detail and full lining.
 
This product is made from certified recycled polyester, recycled polyester reduces dependence on fossil fuels as a raw material, and helps divert plastics from going to landfill.",Skirts,Skirts,Skirts Short,SUMMER 2020,TRAFFIC JAM STRIPE,M,https://www.glassons.com/content/products/r-co-maxine-mesh-skirt-traffic-jam-stripe-front-ss48587rtjs.jpg?width=200
25827101,Super High Stretch Skinny Jean,"Featuring a super high waist, skinny fit, full length with imitation front pockets and regular back pockets. With a stretch denim these jeans will provide endless comfort. Inside leg length is 76cm.

REPREVE denim is designed for our denim lover! My recycled polyester fibres offer an eco friendly superior stretch denim with durability that maintains the authentic look and feel of traditional denim.",Pants,Jeans Denim,Jeans Denim,WINTER 2021,ORLANDO BLUE WASH,10,https://www.glassons.com/content/products/p-mak-super-high-jean-corvette-light-wash-front-jd41130pdnm.jpg?width=200
